Trial #,Message cnt,Token cnt,Coverage rate,Coverage plan
1,58,280001,5,"{'add_seen': 4, 'add_zero_dst': 4, 'add_zero_src': 4, 'sw_seen': 10, 'sw_same_src': 10}"
2,41,200743,2,"{'add_seen': 1, 'sw_seen': 4}"
3,44,213541,3,"{'add_seen': 3, 'add_zero_src': 2, 'sw_seen': 1}"
4,53,279604,6,"{'add_seen': 3, 'add_zero_src': 1, 'slt_seen': 1, 'slt_same_src': 1, 'jal_seen': 2, 'jal_zero_dst': 2}"
5,59,293094,9,"{'add_seen': 2, 'add_zero_dst': 1, 'add_zero_src': 1, 'add_same_src': 1, 'sb_seen': 3, 'sb_zero_src': 3, 'sb_same_src': 1, 'sw_seen': 10, 'sw_same_src': 1}"
6,53,281893,6,"{'add_seen': 9, 'add_zero_dst': 1, 'add_zero_src': 9, 'add_same_src': 1, 'sw_seen': 2, 'add->add_raw_hazard': 2}"
7,36,147985,2,"{'sw_seen': 1, 'sw_same_src': 1}"
8,33,168541,3,"{'add_seen': 3, 'sw_seen': 2, 'sw_same_src': 2}"
9,44,232394,6,"{'add_seen': 3, 'add_zero_src': 1, 'sw_seen': 1, 'sw_same_src': 1, 'jal_seen': 1, 'jal_zero_dst': 1}"
10,36,146629,3,"{'add_seen': 1, 'sw_seen': 1, 'sw_zero_src': 1}"
11,36,176391,2,"{'add_seen': 1, 'sw_seen': 6}"
12,29,128226,2,"{'sw_seen': 8, 'sw_same_src': 8}"
13,41,185984,1,{'add_seen': 1}
14,28,122395,1,{'add_seen': 2}
15,25,119252,0,{}
16,48,215860,5,"{'add_seen': 4, 'add_zero_dst': 1, 'slt_seen': 6, 'slt_zero_dst': 6, 'slt_zero_src': 6}"
17,37,189141,3,"{'add_seen': 5, 'add_zero_src': 2, 'sw_seen': 3}"
18,29,131398,2,"{'slt_seen': 5, 'slt_zero_dst': 5}"
19,28,104124,1,{'sw_seen': 1}
20,63,302764,7,"{'add_seen': 1, 'add_zero_dst': 1, 'sw_seen': 3, 'sw_zero_src': 1, 'sw_same_src': 1, 'jal_seen': 3, 'jal_zero_dst': 3}"
21,59,263651,5,"{'add_seen': 2, 'add_zero_dst': 1, 'add_zero_src': 2, 'sw_seen': 12, 'sw_same_src': 3}"
22,65,350298,6,"{'add_seen': 8, 'add_zero_dst': 7, 'add_zero_src': 8, 'sw_seen': 6, 'sw_zero_src': 5, 'sw_same_src': 1}"
23,44,214495,4,"{'add_seen': 12, 'add_zero_dst': 3, 'add_zero_src': 12, 'add_same_src': 6}"
24,45,231961,6,"{'add_seen': 3, 'slt_seen': 4, 'slt_zero_dst': 4, 'slt_same_src': 4, 'sw_seen': 4, 'sw_same_src': 2}"
25,35,155277,3,"{'sw_seen': 9, 'sw_zero_src': 1, 'sw_same_src': 6}"
26,42,228506,3,"{'add_seen': 1, 'add_zero_src': 1, 'sw_seen': 4}"
27,43,226944,5,"{'add_seen': 5, 'xor_seen': 4, 'xor_zero_dst': 4, 'xor_same_src': 4, 'sw_seen': 4}"
28,51,268651,3,"{'add_seen': 3, 'sw_seen': 2, 'sw_same_src': 2}"
29,31,122753,2,"{'add_seen': 7, 'add_zero_src': 1}"
30,41,169207,2,"{'add_seen': 3, 'add_zero_src': 1}"
31,56,262248,6,"{'add_seen': 6, 'add_zero_dst': 4, 'add_zero_src': 1, 'slt_seen': 1, 'or_seen': 2, 'sw_seen': 6}"
32,44,191503,3,"{'add_seen': 2, 'add_zero_src': 2, 'sw_seen': 1}"
33,55,208278,6,"{'add_seen': 4, 'add_zero_dst': 4, 'add_zero_src': 4, 'add_same_src': 4, 'sw_seen': 1, 'sw_same_src': 1}"
34,44,225821,3,"{'add_seen': 5, 'sw_seen': 2, 'sw_same_src': 2}"
35,34,161014,4,"{'add_seen': 1, 'add_zero_src': 1, 'sw_seen': 4, 'sw_same_src': 1}"
36,56,300317,5,"{'add_seen': 1, 'xor_seen': 4, 'xor_zero_dst': 4, 'xor_same_src': 4, 'sw_seen': 3}"
37,29,134428,1,{'sw_seen': 4}
38,43,199022,3,"{'add_seen': 1, 'sw_seen': 4, 'sw_same_src': 4}"
39,29,131010,1,{'sw_seen': 8}
40,42,239095,3,"{'sw_seen': 13, 'sw_zero_src': 1, 'sw_same_src': 1}"
41,28,108707,1,{'add_seen': 1}
42,28,117079,2,"{'sw_seen': 10, 'sw_same_src': 10}"
43,73,387611,10,"{'add_seen': 10, 'add_zero_dst': 1, 'add_zero_src': 5, 'add_same_src': 1, 'xor_seen': 3, 'xor_zero_dst': 3, 'xor_zero_src': 3, 'sw_seen': 11, 'sw_zero_src': 5, 'sw_same_src': 6}"
44,37,172429,2,"{'sw_seen': 11, 'sw_same_src': 4}"
45,45,209300,4,"{'add_seen': 1, 'sw_seen': 7, 'sw_zero_src': 1, 'sw_same_src': 4}"
46,48,266072,3,"{'add_seen': 8, 'jal_seen': 1, 'jal_zero_dst': 1}"
47,49,233111,3,"{'add_seen': 1, 'sw_seen': 5, 'sw_same_src': 3}"
48,49,229761,9,"{'add_seen': 11, 'add_zero_dst': 4, 'add_zero_src': 7, 'add_same_src': 1, 'sub_seen': 1, 'sll_seen': 3, 'sll_zero_dst': 3, 'jal_seen': 1, 'jal_zero_dst': 1}"
49,16,72404,0,{}
